,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,98.37,98.5,96.5,98.25,2311300,12.5961738261,12.6128201878,12.3567223159,12.5808079538,9245200,0.0,1.0
1,1997-01-03T00:00:00.000Z,98.62,100.12,98.5,98.87,1762800,12.6281860601,12.820259464,12.6128201878,12.6601982941,7051200,0.0,1.0
2,1997-01-06T00:00:00.000Z,100.0,100.12,98.87,99.0,1775500,12.8048935916,12.820259464,12.6601982941,12.6768446557,7102000,0.0,1.0
3,1997-01-07T00:00:00.000Z,100.25,100.25,99.0,99.62,2303300,12.8369058256,12.8369058256,12.6768446557,12.756234996,9213200,0.0,1.0
4,1997-01-08T00:00:00.000Z,99.5,100.87,98.75,100.75,1730100,12.7408691237,12.9162961659,12.6448324218,12.9009302936,6920400,0.0,1.0
5,1997-01-09T00:00:00.000Z,102.87,103.25,99.25,99.25,2706800,13.1723940377,13.2210526334,12.7088568897,12.7088568897,10827200,0.0,1.0
6,1997-01-10T00:00:00.000Z,105.75,106.0,101.87,102.12,2763500,13.5411749732,13.5731872071,13.0443451018,13.0763573358,11054000,0.0,1.0
7,1997-01-13T00:00:00.000Z,103.12,106.12,102.25,106.0,2339700,13.2044062717,13.5885530795,13.0930036975,13.5731872071,9358800,0.0,1.0
8,1997-01-14T00:00:00.000Z,103.62,104.75,103.12,103.5,1774600,13.2684307397,13.4131260373,13.2044062717,13.2530648674,7098400,0.0,1.0
9,1997-01-15T00:00:00.000Z,104.0,105.5,102.5,102.5,2306700,13.3170893353,13.5091627392,13.1250159314,13.1250159314,9226800,0.0,1.0
10,1997-01-16T00:00:00.000Z,103.25,104.87,102.62,104.25,1714400,13.2210526334,13.4284919096,13.1403818038,13.3491015693,6857600,0.0,1.0
11,1997-01-17T00:00:00.000Z,102.87,103.75,102.5,103.12,2498400,13.1723940377,13.2850771013,13.1250159314,13.2044062717,9993600,0.0,1.0
12,1997-01-20T00:00:00.000Z,102.5,103.5,101.62,103.0,1255900,13.1250159314,13.2530648674,13.0123328678,13.1890403994,5023600,0.0,1.0
13,1997-01-21T00:00:00.000Z,103.62,104.25,101.37,101.87,1899000,13.2684307397,13.3491015693,12.9803206339,13.0443451018,7596000,0.0,1.0
14,1997-01-22T00:00:00.000Z,106.0,106.5,102.5,103.5,2342500,13.5731872071,13.6372116751,13.1250159314,13.2530648674,9370000,0.0,1.0
15,1997-01-23T00:00:00.000Z,102.87,107.0,102.5,106.87,1885300,13.1723940377,13.7012361431,13.1250159314,13.6845897814,7541200,0.0,1.0
16,1997-01-24T00:00:00.000Z,100.25,102.75,100.25,102.75,2369000,12.8369058256,13.1570281654,12.8369058256,13.1570281654,9476000,0.0,1.0
17,1997-01-27T00:00:00.000Z,103.25,103.75,100.62,100.87,2557900,13.2210526334,13.2850771013,12.8842839319,12.9162961659,10231600,0.0,1.0
18,1997-01-28T00:00:00.000Z,100.5,104.62,100.37,104.62,1951700,12.8689180596,13.3964796756,12.8522716979,13.3964796756,7806800,0.0,1.0
19,1997-01-29T00:00:00.000Z,103.25,103.5,99.75,100.5,2291900,13.2210526334,13.2530648674,12.7728813577,12.8689180596,9167600,0.0,1.0
20,1997-01-30T00:00:00.000Z,104.12,104.37,102.37,103.5,1818900,13.3324552076,13.3644674416,13.1083695698,13.2530648674,7275600,0.0,1.0
21,1997-01-31T00:00:00.000Z,103.62,104.87,102.75,104.5,1917800,13.2684307397,13.4284919096,13.1570281654,13.3811138033,7671200,0.0,1.0
22,1997-02-03T00:00:00.000Z,102.25,103.62,101.87,103.62,1249600,13.0930036975,13.2684307397,13.0443451018,13.2684307397,4998400,0.0,1.0
23,1997-02-04T00:00:00.000Z,103.37,103.37,102.12,102.62,1074100,13.2364185057,13.2364185057,13.0763573358,13.1403818038,4296400,0.0,1.0
24,1997-02-05T00:00:00.000Z,102.87,105.25,102.62,104.0,1828100,13.1723940377,13.4771505052,13.1403818038,13.3170893353,7312400,0.0,1.0
25,1997-02-06T00:00:00.000Z,101.87,102.12,100.37,101.87,1694500,13.1455037612,13.1777642495,12.9519408316,13.1455037612,6778000,0.79,1.0
26,1997-02-07T00:00:00.000Z,101.0,103.0,100.12,102.0,1587600,13.033237262,13.2913211682,12.9196803433,13.1622792151,6350400,0.0,1.0
27,1997-02-10T00:00:00.000Z,100.12,102.12,100.12,101.37,1786600,12.9196803433,13.1777642495,12.9196803433,13.0809827846,7146400,0.0,1.0
28,1997-02-11T00:00:00.000Z,101.62,101.62,100.12,100.5,1877900,13.1132432729,13.1132432729,12.9196803433,12.9687162855,7511600,0.0,1.0
29,1997-02-12T00:00:00.000Z,103.0,103.37,101.75,101.87,1599700,13.2913211682,13.3390666908,13.1300187268,13.1455037612,6398800,0.0,1.0
30,1997-02-13T00:00:00.000Z,104.0,104.37,103.37,103.75,1554700,13.4203631213,13.4681086439,13.3390666908,13.388102633,6218800,0.0,1.0
31,1997-02-14T00:00:00.000Z,103.87,104.75,103.37,103.75,1319700,13.4035876674,13.5171445861,13.3390666908,13.388102633,5278800,0.0,1.0
32,1997-02-18T00:00:00.000Z,104.12,104.62,102.5,104.62,1519900,13.4358481556,13.5003691322,13.2268001916,13.5003691322,6079600,0.0,1.0
33,1997-02-19T00:00:00.000Z,103.25,104.87,103.12,104.12,1501500,13.3235816565,13.5326296205,13.3068062025,13.4358481556,6006000,0.0,1.0
34,1997-02-20T00:00:00.000Z,103.12,104.5,102.75,102.75,1351900,13.3068062025,13.4848840978,13.2590606799,13.2590606799,5407600,0.0,1.0
35,1997-02-21T00:00:00.000Z,103.75,104.25,102.87,103.0,1957600,13.388102633,13.4526236095,13.2745457143,13.2913211682,7830400,0.0,1.0
36,1997-02-24T00:00:00.000Z,102.62,104.0,102.5,103.75,1421200,13.242285226,13.4203631213,13.2268001916,13.388102633,5684800,0.0,1.0
37,1997-02-25T00:00:00.000Z,103.5,103.87,101.5,102.62,1995600,13.3558421447,13.4035876674,13.0977582385,13.242285226,7982400,0.0,1.0
38,1997-02-26T00:00:00.000Z,102.12,103.62,101.0,103.25,2135700,13.1777642495,13.3713271791,13.033237262,13.3235816565,8542800,0.0,1.0
39,1997-02-27T00:00:00.000Z,99.87,102.37,99.87,102.25,1616100,12.887419855,13.2100247377,12.887419855,13.1945397034,6464400,0.0,1.0
40,1997-02-28T00:00:00.000Z,100.25,101.5,99.87,100.0,2083800,12.9364557972,13.0977582385,12.887419855,12.9041953089,8335200,0.0,1.0
